v8-version,4,4,63,30,0
code-creation,Stub,11,0x23d2c90f920,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,11,0x23d2c90fa80,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,11,0x23d2c90fbe0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c90fcc0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,11,0x23d2c90fda0,212,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
tick,0x7fcd18c90187,20693,0,0x0,4
code-creation,Stub,11,0x23d2c90fe80,292,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c90ffc0,418,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,11,0x23d2c910180,442,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,11,0x23d2c910340,292,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c910480,418,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,11,0x23d2c910640,446,"BinaryOpICStub(DIV:Number*Int32->Number)"
code-creation,Stub,11,0x23d2c910800,470,"BinaryOpICStub(DIV:Number*Number->Number)"
tick,0xafa7bb,21762,0,0x0,4
code-creation,Stub,11,0x23d2c9109e0,446,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,11,0x23d2c910ba0,292,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c910ce0,418,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,11,0x23d2c910ea0,442,"BinaryOpICStub(DIV:Smi*Number->Number)"
code-creation,Stub,11,0x23d2c911060,418,"BinaryOpICStub(DIV:Smi*Smi->Number)"
